"","name","importance"
"1","ANKRD30A",175
"2","COL6A5",183.75
"3","HLA-DRA",133.75
"4","MAP3K6",126.5
"5","PRMT3",119.5
"6","RFPL2",251.666666666667
"7","SCARF2",120.333333333333
"8","SCN3A",123.333333333333
"9","TNR",139.833333333333
